deck,front,back,reading,pos,examples,tags
Default,挨拶,寒暄语。打招呼。,あいさつ,,初対面の挨拶。初次见面的客套话。 | 朝夕の挨拶。早晚的寒暄话。,"N1,vocab"
Default,愛嬢,喜爱的女儿，爱女，掌珠；令爱。喜爱的女儿，爱女，掌珠，令爱。,あいじょう,,,"N1,vocab"
Default,愛想,①亲切，和蔼。,あいそ,,あいそがいい。和蔼。 | なかなかあいそのいい店員だね。这是个可爱可亲的店员啊。 | あいそのない返事をする。爱搭不理地回答。 | もっとあいそよくしなさい。再热情一点儿。 ②客套话。 | あいそを言う。说客套话。 | 子供のくせにおあいそを言うんだ。孩子竟说起客套话来。 ③结帐。 | ねえさん，おあいそ。服务员，结账。 | 愛想が尽きる。嫌弃。 | おまえにはほとほとあいそが尽きた。我对你已经不抱什么希望了。 | 愛想を尽かす。嫌弃，厌弃。 | 彼女は甲斐性のない夫にあいそを尽かした。她对没出息的丈夫实在厌恨了。 | 愛想尽かし。厌弃。 | 心にもないあいそ尽かしを言う。虽然并非出于真心，但说出绝情的话。 | 愛想笑い。谄笑。 | 涙をこらえてあいそ笑いを浮かべた。眼中含泪强作笑。,"N1,vocab"
Default,愛想を尽かす,嫌弃，厌弃。,あいそをつかす,,彼女は甲斐性のない夫にあいそを尽かした。她对没出息的丈夫实在厌恨了。,"N1,vocab"
Default,愛着,眷恋。留恋。,あいちゃく,,母校にはなんのあいちゃくもない。我对母校毫不留恋。 | この辞書にはとりわけあいちゃくがある。我对这本辞典特别有感情。,"N1,vocab"
Default,安否,平安与否。,あんぴ,,息子のあんぴを気遣う。担心儿子的平安。 | あんぴを尋ねる。问安。 | 手紙であんぴを尋ねたが返事はなかった。寄信去问候平安，可是没有回信。,"N1,vocab"
Default,安価,廉价，便宜。,あんか,,あんかな商品。廉价的商品。,"N1,vocab"
Default,安易,轻易，容易，简单。,あんい,,あんいに考える。考虑得简单。 | あんいな結論を出す。作出简单的结论。 | あんいにものを考える。把问题看得太简单。,"N1,vocab"
Default,安住,安于。安居。,あんじゅう,,あんじゅうの地。安居之地。 | ようやくあんじゅうの地が見つかった。终于找到了安身之地。 | 現状にあんじゅうする。安于现状。,"N1,vocab"
Default,案内,向导，引导，带路。传达，通知，邀请，熟悉,あんない,,あんない状。通知。请帖。 | あんない図。示意图。 | 入学あんない。入学向导。入学指南。 | 名所を見物したいのですがあんないしてくれますか。我想游览名胜，能不能给我导游？ | 座席へあんないする。领到座位。领座。 | 道をあんないする。带路。 | 先に立ってあんないする。在前边带路。 | 旅行あんない。旅游指南。 | 至急あんない所までお越し下さい。请马上到问讯处来。 | 晩餐に御出席いただきたく御あんない申し上げます。邀请您出席晚餐，特此通知。 | この近辺は不あんないである。这一带不熟悉。 | 案内所。问事处，问讯处。 | 案内板。告示牌。 | 番号案内係。查号台。,"N1,vocab"
Default,案文,草案，草稿。思考，文章,あんぶん,,,"N1,vocab"
